date,whole_hb_average,wake_hb_min,wake_hb_max,wake_hb_mean,wake_hb_median,wake_hb_std,sleep_hb_min,sleep_hb_max,sleep_hb_mean,sleep_hb_median,sleep_hb_std,wake_temp_min,wake_temp_max,wake_temp_mean,wake_temp_median,wake_temp_std,sleep_temp_min,sleep_temp_max,sleep_temp_mean,sleep_temp_median,sleep_temp_std,labels
2022-06-03,67.9047619047619,52,112,74.75,72.0,14.482040885065933,47.0,70.0,53.752808988764045,53.0,4.734498386784363,28.8125,35.75,33.16134510869565,33.0625,1.2568695898017004,31.8125,35.4375,33.797050561797754,34.0625,1.0356860896969344,0
2022-06-04,77.92395437262357,57,127,84.74,84.0,14.603379522129003,50.0,68.0,56.285714285714285,56.0,3.580541369359646,28.375,35.875,32.7340625,32.71875,1.271825747104824,32.125,35.8125,34.86607142857143,35.0,0.8272434933168245,2
2022-06-05,76.20979020979021,59,122,90.46198830409357,91.0,11.9633024468646,48.0,94.0,55.017391304347825,54.0,5.857941990416226,25.0,35.75,32.8453947368421,33.5625,2.464017856606972,31.25,35.6875,34.030434782608694,34.125,0.9182738061112732,2
2022-06-07,76.7165991902834,50,135,87.53658536585365,87.0,13.552166984897028,48.0,72.0,55.33734939759036,54.0,5.255141752593093,32.3125,35.4375,34.0297256097561,34.25,0.7946346158545761,32.6875,35.625,34.63855421686747,34.8125,0.7041395588703617,2
2022-06-08,70.21167883211679,63,117,79.09933774834437,77.0,8.923194470507683,51.0,85.0,59.300813008130085,58.0,6.316690043376491,27.9375,35.3125,33.43377483443709,33.625,1.3169217537990399,31.625,35.5,34.11686991869919,34.375,0.973060523359408,0
2022-06-09,74.73309608540926,60,114,79.90776699029126,79.0,10.297346940534455,53.0,73.0,60.52,60.0,4.743017627651853,29.3125,35.875,33.74302184466019,34.0,0.9887364137432921,32.0625,35.8125,34.365,34.8125,1.0590185410417847,1
2022-06-10,76.6639344262295,59,119,86.16025641025641,83.0,13.203859061932537,51.0,77.0,59.82954545454545,60.0,5.975470146287613,30.9375,35.375,33.60817307692308,33.6875,0.7754533713521653,31.875,35.25,33.63423295454545,33.4375,0.9088554882690026,1
2022-06-11,82.56870229007633,53,131,90.44776119402985,91.0,13.814431130621577,48.0,80.0,56.60655737704918,55.0,6.11086106459799,29.25,36.0625,32.567475124378106,32.5,1.2096836360710637,32.1875,35.625,33.86065573770492,33.9375,0.9371800455843745,2
2022-06-14,76.46120689655173,57,145,86.81699346405229,83.0,13.099536908496509,50.0,67.0,56.40506329113924,56.0,4.014457805271074,32.0,36.1875,34.0359477124183,33.9375,0.8807871594626808,31.1875,35.25,33.17246835443038,33.0,1.4103205044484644,2
2022-06-15,69.71272727272728,60,115,75.29100529100529,73.0,9.981630657350486,51.0,78.0,57.45348837209303,56.0,5.343840823501577,30.0,35.25,33.71825396825397,33.8125,0.9087940960928453,32.0625,35.75,34.499273255813954,34.6875,0.8662638562069016,0
